id,emoji,avatar,name_en,about_en,description_en,name_ru,about_ru,description_ru
1,💡,https://via.placeholder.com/150,inspirational,inspirational,Lorem ipsum,вдохновляющие,вдохновляющие,Лорем ипсум
2,😊,https://via.placeholder.com/151,happiness,about happiness,Lorem ipsum,счастье,о счастье,Лорем ипсум
3,☝️,https://via.placeholder.com/152,life,about life,Lorem ipsum,жизнь,о жизни,Лорем ипсум
4,💘,https://via.placeholder.com/153,love,about love,Lorem ipsum,любовь,о любви,Лорем ипсум
5,☀️,https://via.placeholder.com/154,meditation,about meditation,Lorem ipsum,медитация,о медитации,Лорем ипсум
6,💫,https://via.placeholder.com/155,mind,about mind,Lorem ipsum,разум,о разуме,Лорем ипсум
7,🕊️,https://via.placeholder.com/156,peace,about peace,Lorem ipsum,мир,о мире,Лорем ипсум
8,😌,https://via.placeholder.com/157,spirituality,about spirituality,Lorem ipsum,духовность,о духовности,Лорем ипсум
9,💬,https://via.placeholder.com/158,wisdom,about wisdom,Lorem ipsum,мудрость,о мудрости,Лорем ипсум
10,💀,https://via.placeholder.com/159,death,about death,Lorem ipsum,смерть,о смерти,Лорем ипсум
11,🙏,https://via.placeholder.com/160,humility,about humility,Lorem ipsum,смирение,о смирении,Лорем ипсум
